City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
429,Salalah,OM,80.35,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
430,Banepa,NP,68.32,broken clouds,27.6298,85.5214,Dhulikhel Lodge Resort
433,Baoying,CN,69.46,light rain,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
434,Baglan,AF,71.6,clear sky,36.1307,68.7083,Habibullah MOsazai
436,Monforte De Lemos,ES,65.86,few clouds,42.5216,-7.5142,Hotel Cardenal
437,Paragominas,BR,87.66,overcast clouds,-2.9667,-47.4833,INOVA
438,Mahibadhoo,MV,78.53,overcast clouds,3.7833,72.9667,Omadhoo Inn
442,Kuhdasht,IR,70.21,clear sky,33.535,47.6061,فروشگاه زنبیل
444,Clocolan,ZA,64.69,broken clouds,-28.9137,27.5656,Orsmond Gastehuis
446,Cao Bang,VN,73.04,overcast clouds,22.6667,106.25,khách sạn 88
447,Iberia,US,79.99,overcast clouds,29.9502,-91.7507,back to back rv park
448,San Cristobal,VE,87.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
450,Yeppoon,AU,53.38,clear sky,-23.1333,150.7333,Villa Mar Colina
451,Nuoro,IT,70.79,overcast clouds,40.3211,9.3297,Hotel Sandalia
452,Abu Zabad,SD,74.37,moderate rain,12.35,29.25,حامد محمد نور
453,Vung Tau,VN,78.21,overcast clouds,10.346,107.0843,Green hotel
455,Garissa,KE,77.88,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
456,Seoul,KR,67.44,moderate rain,37.5683,126.9778,Lotte Hotel Seoul
457,Southbridge,US,74.82,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
458,Kurilsk,RU,51.94,broken clouds,45.2333,147.8833,Hotel Ostrov
459,Collierville,US,79.72,few clouds,35.042,-89.6645,Hampton Inn Memphis/Collierville
460,Kontagora,NG,75.36,scattered clouds,10.3999,5.4695,Queens Guest Inn
462,Fasa,IR,72.64,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
465,Aras,ES,71.4,few clouds,42.5617,-2.356,Jardines de Viana Spa
466,Goderich,CA,60.91,overcast clouds,43.7501,-81.7165,Harmony Inn
467,Makakilo City,US,78.28,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
469,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
470,Erenhot,CN,64.18,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
471,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
472,Roebourne,AU,72.28,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
474,Inongo,CD,71.38,broken clouds,-1.95,18.2667,Hotel Du Lac
